# Generated by record-fixtures.sh. Do not edit by hand.
# netem impairment for this batch: bidirectional
fixture	frames	seconds	matches	window_filter	sha256
qos-mismatch	10685	8.7	33	rtps.param.topicName contains "fixture_qos"	8701e4bea21a6537
domain-mismatch	21033	28.3	60	udp.dstport == 17900 || udp.dstport == 26650	92f00e8402c47822
multicast-storm	3293	29.1	3293	ip.dst == 239.255.0.1	04cc4ea500ccdf44
nothing-on-wire	25001	22.5	24991	rtps	f04c8143e8e80b4f
multicast-blocked	164	38.6	162	ip.dst == 239.255.0.1	620381f20176d035
node-death	25001	67.5	23584	rtps.sm.wrEntityId == 0x000100c2	37f240389b0016a8
fragment-loss	12501	0.3	1505	rtps.sm.id == 0x16	93b70bb9ef280326
reliable-vs-besteffort	62312	19.4	48	rtps.sm.id == 0x07	a676e29bca17b953
zenoh-no-router	20581	23.9	8	tcp.flags.syn == 1 && tcp.flags.ack == 0	6ab06d11ba982f2b
zenoh-router-killed	17571	45.7	13349	zenoh	a7dc1dafa227eb62
healthy-fastdds	5928	12.1	5505	rtps	e8990282fa6c5a62
healthy-cyclone	1752	1.0	940	rtps	17012b578bc03f3d
healthy-cyclone-discovery	4992	0.8	824	rtps.sm.id == 0x15 && (rtps.sm.wrEntityId == 0x000003c2 || rtps.sm.wrEntityId == 0x000004c2)	829350e7d23c55f3
healthy-zenoh	4831	7.6	806	zenoh.body.frame.payload.body.declare.body.declare_key_expr.wire_expr	67b910d5a37c597b
