t_epoch,reqds,oks,fails,retrans
1786641846.528508248,8224,852,0,0
1786641847.608453474,9168,952,0,0
1786641848.675320200,10150,1051,0,0
1786641849.748591057,11162,1161,0,0
1786641850.848552781,12145,1260,0,0
1786641851.932336084,13052,1354,0,0
1786641853.043433524,14112,1465,0,0
1786641854.146013740,15069,1563,0,0
1786641855.201565863,16045,1667,0,0
1786641856.278826446,16996,1763,0,0
1786641857.387583032,18029,1872,0,0
1786641858.479598325,19022,1975,0,0
1786641859.580665285,20048,2082,0,0
1786641860.688254962,21020,2184,0,0
1786641861.780038542,22003,2283,0,0
1786641862.884385083,23015,2393,0,0
1786641863.984985665,24057,2498,0,0
1786641865.120262221,24935,2590,0,0
1786641866.191491652,26045,2703,0,0
1786641867.309001081,26971,2797,0,0
1786641868.388111933,27977,2903,0,0
1786641869.473298903,28927,2998,0,0
1786641870.565257767,29964,3108,0,0
1786641871.657250844,30950,3207,0,0
1786641872.751280095,31913,3305,0,0
1786641873.860085015,32915,3410,0,0
1786641874.931883392,33890,3503,0,0
1786641876.024240893,34886,3607,0,0
1786641877.141195146,35876,3707,0,0
1786641878.217479551,36872,3808,0,0
1786641879.315797719,37868,3911,0,0
1786641880.421288173,38810,4007,0,0
1786641881.497063304,39823,4109,0,0
1786641882.592512272,40779,4205,0,0
1786641883.696482746,41785,4311,0,0
1786641884.786522628,42770,4411,0,0
1786641885.889787261,43767,4514,0,0
1786641886.958335623,44766,4617,0,0
1786641888.087580326,45742,4711,0,0
1786641889.152085225,46690,4812,0,0
1786641890.206907607,47640,4906,0,0
1786641891.295778187,48638,5007,0,0
1786641892.382940423,49630,5106,0,0
1786641893.454943861,50588,5203,0,0
1786641894.550231606,51588,5305,0,0
1786641895.630741473,52599,5407,0,0
1786641896.772647377,53569,5506,0,0
1786641897.858359183,54577,5604,2,0
1786641898.947832277,55570,5703,3,0
1786641900.105955952,56508,5799,4,0
1786641901.168411576,57460,5892,6,0
1786641902.229273883,58465,5996,9,0
1786641903.317205577,59486,6095,9,0
1786641904.423652113,60442,6193,10,0
1786641905.492733371,61433,6294,16,0
1786641906.578746612,62415,6390,18,0
1786641907.661522413,63412,6490,21,0
1786641908.771622090,64390,6585,24,0
1786641909.855751740,65299,6679,25,0
1786641910.912877997,66226,6770,26,0
1786641912.003748116,67243,6868,30,0
1786641913.132061283,68178,6961,31,0
1786641914.192055403,69183,7055,35,0
1786641915.275083350,70180,7154,36,0
1786641916.363903127,71144,7246,37,0
1786641917.454531289,72012,7334,39,0
1786641918.539347216,73110,7440,44,0
1786641919.645672355,74055,7531,46,0
1786641920.746914042,75117,7638,49,0
1786641921.854890792,76087,7731,55,0
1786641922.958346695,77105,7839,58,0
1786641924.094037689,78086,7934,60,0
1786641925.172136310,79020,8028,61,0
1786641926.244279372,79916,8113,64,0
1786641927.317040965,80986,8216,68,0
1786641928.427817380,81930,8314,71,0
1786641929.499785075,82932,8408,77,0
1786641930.582648423,83912,8499,82,0
1786641931.660407130,84778,8580,87,0
1786641932.760118132,85768,8678,91,0
1786641933.865455544,86754,8768,96,0
1786641934.958675929,87734,8862,101,0
1786641936.062302976,88733,8960,102,0
1786641937.153802254,89646,9039,112,0
1786641938.207212012,90637,9135,118,0
1786641939.281792979,91604,9233,124,0
1786641940.363529073,92564,9325,124,0
1786641941.448371390,93531,9421,134,0
1786641942.523371960,94493,9508,141,0
1786641943.619241992,95483,9605,146,0
1786641944.723662454,96479,9705,155,0
1786641945.840911339,97472,9795,160,0
1786641946.933720064,98475,9892,168,0
1786641948.045849725,99408,9983,177,0
1786641949.144293862,100414,10080,180,0
1786641950.201239254,101331,10099,813,0
1786641951.267465715,102343,10121,1588,0
