t_epoch,reqds,oks,fails,retrans
1786642150.555267581,6632,277,0,0
1786642151.644971848,7558,310,0,0
1786642152.740956000,8493,343,0,0
1786642153.850574675,9447,377,0,0
1786642154.965029153,10437,412,0,0
1786642156.097962426,11367,445,0,0
1786642157.175504041,12239,476,0,0
1786642158.256097754,13174,509,0,0
1786642159.359444823,14129,543,0,0
1786642160.485069597,15092,577,0,0
1786642161.591583145,16019,610,0,0
1786642162.686932963,16952,643,0,0
1786642163.773101730,17857,675,0,0
1786642164.882933306,18784,708,0,0
1786642165.969798495,19719,741,0,0
1786642167.093648603,20671,775,0,0
1786642168.172820673,21521,805,0,0
1786642169.229222956,22452,838,0,0
1786642170.304142635,23381,871,0,0
1786642171.385852496,24258,901,0,0
1786642172.472000581,25180,931,0,0
1786642173.568690933,26099,961,0,0
1786642174.658630402,27039,994,0,0
1786642175.775602183,27999,1027,0,0
1786642176.886207077,28903,1055,0,0
1786642177.973126417,29884,1089,0,0
1786642179.092385766,30755,1118,0,0
1786642180.173487998,31684,1150,0,0
1786642181.267895194,32590,1181,0,0
1786642182.353336796,33548,1214,0,0
1786642183.465022837,34475,1244,0,0
1786642184.569350048,35378,1272,0,0
1786642185.641043005,36297,1301,0,0
1786642186.740368851,37230,1332,0,0
1786642187.828853651,38155,1364,0,0
1786642188.929916434,39086,1394,0,0
1786642190.055586200,40017,1426,0,0
1786642191.155521433,40942,1455,0,0
1786642192.224375630,41817,1485,0,0
1786642193.294839422,42737,1512,0,0
1786642194.396569146,43669,1542,0,0
1786642195.503014934,44588,1568,0,0
1786642196.593339360,45512,1594,0,0
1786642197.694348944,46410,1625,0,0
1786642198.785501873,47334,1631,686,0
1786642199.885063288,48210,1631,1562,0
1786642200.959429142,49134,1631,2486,0
1786642202.090567749,50082,1631,3382,0
1786642203.161454703,50994,1631,4242,0
1786642204.243032703,51917,1631,5112,0
1786642205.342456028,52845,1631,6014,0
1786642206.443573760,53762,1631,6905,0
1786642207.542028533,54696,1660,6994,0
1786642208.643887312,55622,1665,7643,0
1786642209.722228542,56549,1665,8545,0
1786642210.811278259,57435,1665,9405,0
1786642211.883881740,58317,1666,10232,0
1786642212.954532608,59250,1666,11139,0
1786642214.078746841,60166,1666,11975,0
1786642215.140371680,61092,1668,12713,0
1786642216.208650521,61968,1668,13511,0
1786642217.291217312,62916,1668,14380,0
1786642218.398677688,63861,1668,15300,0
1786642219.507028751,64779,1668,16165,0
1786642220.606892447,65729,1668,17063,0
1786642221.708487474,66653,1668,17908,0
1786642222.798380501,67515,1668,18744,0
1786642223.883078040,68427,1674,19334,0
1786642224.974042616,69347,1682,19952,0
1786642226.078067437,70271,1686,20631,0
1786642227.156468286,71194,1711,20773,0
1786642228.227196372,72113,1724,21131,0
1786642229.307648192,73033,1734,21721,0
1786642230.395362453,73911,1734,22599,0
1786642231.496764752,74850,1734,23538,0
1786642232.594151546,75760,1735,24369,0
1786642233.694405818,76652,1735,25213,0
1786642234.764320889,77560,1735,26042,0
1786642235.834631180,78431,1735,26888,0
1786642236.909338760,79358,1735,27815,0
1786642238.017880994,80281,1735,28686,0
1786642239.132844132,81161,1737,29405,0
1786642240.187111596,82057,1737,30277,0
1786642241.241814219,82985,1737,31179,0
1786642242.332671540,83882,1737,32050,0
1786642243.409007119,84761,1737,32888,0
1786642244.500041919,85687,1738,33695,0
1786642245.595596973,86588,1744,34280,0
1786642246.683295103,87520,1744,35160,0
1786642247.782664012,88445,1744,36034,0
1786642248.863879917,89368,1744,36934,0
1786642249.955951480,90296,1744,37810,0
1786642251.080930414,91217,1744,38682,0
1786642252.168030761,92138,1747,39436,0
1786642253.229354907,92999,1747,40247,0
1786642254.293621061,93903,1753,40857,0
1786642255.370998159,94827,1757,41594,0
