t_epoch,reqds,oks,fails,retrans
1786621551.459653089,0,0,0,7268
1786621552.569554166,0,0,0,7268
1786621553.661971854,0,0,0,7268
1786621554.749983991,0,0,0,7268
1786621555.849982875,0,0,0,7268
1786621556.953144733,0,0,0,7268
1786621558.084980241,0,0,0,7268
1786621559.160365803,0,0,0,7268
1786621560.216434770,0,0,0,7268
1786621561.284892293,0,0,0,7268
1786621562.402378135,0,0,0,7268
1786621563.488130550,0,0,0,7268
1786621564.597948970,0,0,0,7268
1786621565.692099758,0,0,0,7268
1786621566.792716851,0,0,0,7268
1786621567.879757860,0,0,0,7268
1786621568.974071649,0,0,0,7268
1786621570.095642071,0,0,0,7268
1786621571.161399115,0,0,0,7268
1786621572.213212088,0,0,0,7275
1786621573.274668935,0,0,0,7290
1786621574.372288544,0,0,0,7303
1786621575.472508027,0,0,0,7320
1786621576.572224170,0,0,0,7331
1786621577.667077892,0,0,0,7343
1786621578.772905444,0,0,0,7355
1786621579.866822454,0,0,0,7366
1786621580.956815395,0,0,0,7375
1786621582.054540358,0,0,0,7382
1786621583.145275868,0,0,0,7390
1786621584.202744352,0,0,0,7402
1786621585.269070900,0,0,0,7417
1786621586.367858768,0,0,0,7425
1786621587.476095106,0,0,0,7432
1786621588.575780057,0,0,0,7446
1786621589.673559306,0,0,0,7455
1786621590.759573453,0,0,0,7467
1786621591.840854306,0,0,0,7484
1786621592.930766320,0,0,0,7498
1786621593.983685149,0,0,0,7516
1786621595.098372797,0,0,0,7541
1786621596.160101156,0,0,0,7570
1786621597.216587441,0,0,0,7603
1786621598.285469664,0,0,0,7628
1786621599.382432707,0,0,0,7657
1786621600.480619061,0,0,0,7677
1786621601.565813785,0,0,0,7697
1786621602.662135206,0,0,0,7723
1786621603.753550574,0,0,0,7744
1786621604.829986116,0,0,0,7771
1786621605.897965283,0,0,0,7786
1786621606.987050983,0,0,0,7806
1786621608.113365183,0,0,0,7832
1786621609.179488266,0,0,0,7857
1786621610.277215474,0,0,0,7891
1786621611.373392215,0,0,0,7912
1786621612.451600619,0,0,0,7931
1786621613.533797266,0,0,0,7966
1786621614.637373081,0,0,0,7984
1786621615.703256641,0,0,0,8000
1786621616.806430741,0,0,0,8018
1786621617.900210106,0,0,0,8029
1786621618.972108592,0,0,0,8052
1786621620.102945228,0,0,0,8086
1786621621.163967722,0,0,0,8105
1786621622.222597263,0,0,0,8127
1786621623.287855752,0,0,0,8153
1786621624.389744374,0,0,0,8172
1786621625.478574007,0,0,0,8183
1786621626.559435375,0,0,0,8200
1786621627.662570115,0,0,0,8212
1786621628.770619342,0,0,0,8225
1786621629.855717292,0,0,0,8243
1786621630.941918331,0,0,0,8267
1786621632.085177048,0,0,0,8285
1786621633.154793950,0,0,0,8301
1786621634.210726812,0,0,0,8326
1786621635.302389551,0,0,0,8342
1786621636.355660531,0,0,0,8347
1786621637.464444492,0,0,0,8360
1786621638.548671297,0,0,0,8368
1786621639.644837038,0,0,0,8376
1786621640.744027823,0,0,0,8386
1786621641.846443528,0,0,0,8392
1786621642.959297771,0,0,0,8407
1786621644.096504000,0,0,0,8424
1786621645.173048941,0,0,0,8437
1786621646.227527898,0,0,0,8451
1786621647.319630116,0,0,0,8463
1786621648.437351583,0,0,0,8471
1786621649.525774309,0,0,0,8482
1786621650.637104230,0,0,0,8490
1786621651.730733407,0,0,0,8502
1786621652.828392162,0,0,0,8508
1786621653.921757173,0,0,0,8514
1786621655.016947674,0,0,0,8521
1786621656.134146729,0,0,0,8525
1786621657.183250201,0,0,0,8535
1786621658.288126446,0,0,0,8535
1786621659.382445283,0,0,0,8535
1786621660.479563849,0,0,0,8535
1786621661.570221496,0,0,0,8535
1786621662.671212121,0,0,0,8535
1786621663.771809397,0,0,0,8535
1786621664.869951799,0,0,0,8535
1786621665.975363235,0,0,0,8535
1786621667.105426808,0,0,0,8535
1786621668.170278938,0,0,0,8535
