t_epoch,robot,topic
1786641836.894672,1,scan
1786641836.895066,2,scan
1786641836.919345,3,scan
1786641836.994494,1,scan
1786641836.994895,2,scan
1786641837.019369,3,scan
1786641837.095365,1,scan
1786641837.096045,2,scan
1786641837.119680,3,scan
1786641837.120708,2,camera
1786641837.195175,1,scan
1786641837.195817,2,scan
1786641837.219796,3,scan
1786641837.295363,1,scan
1786641837.296636,2,scan
1786641837.321596,3,scan
1786641837.343370,3,camera
1786641837.394823,1,scan
1786641837.395297,2,scan
1786641837.419675,3,scan
1786641837.494436,1,scan
1786641837.494660,2,scan
1786641837.519677,3,scan
1786641837.594674,1,scan
1786641837.595041,2,scan
1786641837.611923,2,camera
1786641837.619476,3,scan
1786641837.695046,1,scan
1786641837.695719,2,scan
1786641837.706588,2,camera
1786641837.719604,3,scan
1786641837.795463,2,scan
1786641837.797341,1,scan
1786641837.810025,2,camera
1786641837.819899,3,scan
1786641837.895573,1,scan
1786641837.896317,2,scan
1786641837.908414,2,camera
1786641837.920565,3,scan
1786641837.938671,3,camera
1786641837.941417,3,camera
1786641837.943950,3,camera
1786641837.995132,1,scan
1786641837.995821,2,scan
1786641838.010480,2,camera
1786641838.016164,1,camera
1786641838.019707,3,scan
1786641838.022746,1,camera
1786641838.026525,1,camera
1786641838.029641,3,camera
1786641838.030657,1,camera
1786641838.033891,1,camera
1786641838.087749,1,camera
1786641838.094404,1,scan
1786641838.094640,2,scan
1786641838.101486,2,camera
1786641838.119234,3,scan
1786641838.123358,3,camera
1786641838.192804,1,camera
1786641838.194984,1,scan
1786641838.195611,2,scan
1786641838.209605,2,camera
1786641838.219779,3,scan
1786641838.231516,3,camera
1786641838.290252,1,camera
1786641838.295047,1,scan
1786641838.295642,2,scan
1786641838.309444,2,camera
1786641838.320130,3,scan
1786641838.333177,3,camera
1786641838.390218,1,camera
1786641838.395189,1,scan
1786641838.395864,2,scan
1786641838.412026,2,camera
1786641838.419505,3,scan
1786641838.425521,3,camera
1786641838.490144,1,camera
1786641838.495134,1,scan
1786641838.495735,2,scan
1786641838.508800,2,camera
1786641838.519777,3,scan
1786641838.531115,3,camera
1786641838.590100,1,camera
1786641838.594960,1,scan
1786641838.595558,2,scan
1786641838.607512,2,camera
1786641838.620449,3,scan
1786641838.631567,3,camera
1786641838.690239,1,camera
1786641838.695089,1,scan
1786641838.695649,2,scan
1786641838.709061,2,camera
1786641838.720081,3,scan
1786641838.730762,3,camera
