t_epoch,robot,topic
1786642141.077518,1,camera
1786642141.094941,3,camera
1786642142.086171,1,camera
1786642142.094074,3,camera
1786642142.882241,2,camera
1786642143.062951,2,camera
1786642143.088826,3,camera
1786642143.149692,2,camera
1786642143.164955,1,camera
1786642143.170106,3,camera
1786642143.257079,2,camera
1786642143.266731,3,camera
1786642143.275727,1,camera
1786642143.277550,3,scan
1786642143.321538,2,scan
1786642143.357392,2,camera
1786642143.375806,1,camera
1786642143.376711,3,camera
1786642143.377837,3,scan
1786642143.421423,2,scan
1786642143.456096,2,camera
1786642143.469091,1,scan
1786642143.473286,1,camera
1786642143.475670,3,camera
1786642143.477763,3,scan
1786642143.521790,2,scan
1786642143.556809,2,camera
1786642143.568990,1,scan
1786642143.571374,1,camera
1786642143.577893,3,scan
1786642143.583246,3,camera
1786642143.621258,2,scan
1786642143.655500,2,camera
1786642143.669307,1,scan
1786642143.670779,1,camera
1786642143.675519,3,camera
1786642143.677835,3,scan
1786642143.721545,2,scan
1786642143.755400,2,camera
1786642143.769559,1,scan
1786642143.770623,1,camera
1786642143.774505,3,camera
1786642143.777790,3,scan
1786642143.821542,2,scan
1786642143.855536,2,camera
1786642143.869038,1,scan
1786642143.875362,1,camera
1786642143.876879,3,camera
1786642143.877775,3,scan
1786642143.921320,2,scan
1786642143.955662,2,camera
1786642143.969249,1,scan
1786642143.971721,1,camera
1786642143.974622,3,camera
1786642143.977967,3,scan
1786642144.022440,2,scan
1786642144.069524,1,scan
1786642144.074588,1,camera
1786642144.075712,2,camera
1786642144.078625,3,scan
1786642144.079356,3,camera
1786642144.121818,2,scan
1786642144.148730,2,camera
1786642144.161741,1,camera
1786642144.167377,3,camera
1786642144.168073,1,scan
1786642144.177313,3,scan
1786642144.220720,2,scan
1786642144.247274,2,camera
1786642144.263201,1,camera
1786642144.267207,3,camera
1786642144.268083,1,scan
1786642144.277613,3,scan
1786642144.321328,2,scan
1786642144.356112,2,camera
1786642144.369057,1,scan
1786642144.370787,1,camera
1786642144.374972,3,camera
1786642144.378412,3,scan
1786642144.421451,2,scan
1786642144.455498,2,camera
1786642144.467996,1,camera
1786642144.468579,1,scan
1786642144.470973,3,camera
1786642144.477869,3,scan
