t_epoch,robot,topic
1786621541.743104,2,scan
1786621541.757175,3,scan
1786621541.759215,1,scan
1786621541.842902,2,scan
1786621541.856843,3,scan
1786621541.859252,1,scan
1786621541.897768,3,camera
1786621541.943964,2,scan
1786621541.957567,3,scan
1786621541.960203,1,scan
1786621542.045644,2,scan
1786621542.059103,3,scan
1786621542.060842,1,scan
1786621542.143170,2,scan
1786621542.156825,3,scan
1786621542.159394,1,scan
1786621542.243200,2,scan
1786621542.258060,3,scan
1786621542.259912,1,scan
1786621542.343664,2,scan
1786621542.357725,3,scan
1786621542.359886,1,scan
1786621542.443148,2,scan
1786621542.447364,2,camera
1786621542.450681,1,camera
1786621542.456802,3,scan
1786621542.459286,1,scan
1786621542.543954,2,scan
1786621542.558114,2,camera
1786621542.559294,3,scan
1786621542.560529,1,scan
1786621542.564711,1,camera
1786621542.610981,3,camera
1786621542.644712,2,scan
1786621542.650248,2,camera
1786621542.657892,3,scan
1786621542.660007,1,scan
1786621542.661385,1,camera
1786621542.709523,3,camera
1786621542.744521,2,scan
1786621542.748959,2,camera
1786621542.758099,3,scan
1786621542.760430,1,scan
1786621542.761211,1,camera
1786621542.808389,3,camera
1786621542.845035,2,scan
1786621542.851287,2,camera
1786621542.857901,3,scan
1786621542.860176,1,scan
1786621542.862458,1,camera
1786621542.907938,3,camera
1786621542.944420,2,scan
1786621542.947638,2,camera
1786621542.957969,3,scan
1786621542.960084,1,scan
1786621542.964161,1,camera
1786621543.006097,3,camera
1786621543.044909,2,scan
1786621543.061387,3,scan
1786621543.062109,1,scan
1786621543.063637,2,camera
1786621543.083199,1,camera
1786621543.107550,3,camera
1786621543.145022,2,scan
1786621543.148491,2,camera
1786621543.153534,1,camera
1786621543.157383,3,scan
1786621543.159281,1,scan
1786621543.201233,3,camera
1786621543.245289,2,scan
1786621543.249744,2,camera
1786621543.257076,3,scan
1786621543.257840,1,camera
1786621543.259379,1,scan
1786621543.309875,3,camera
1786621543.344842,2,scan
1786621543.349564,2,camera
1786621543.357481,3,scan
1786621543.358515,1,camera
1786621543.359879,1,scan
1786621543.410192,3,camera
1786621543.444562,2,scan
1786621543.449225,2,camera
