t_epoch,robot,topic
1786641836.894305,1,scan
1786641836.894440,2,scan
1786641836.919049,3,scan
1786641836.994202,1,scan
1786641836.994343,2,scan
1786641837.019074,3,scan
1786641837.094824,1,scan
1786641837.094839,2,scan
1786641837.119187,3,scan
1786641837.120260,2,camera
1786641837.194680,1,scan
1786641837.194748,2,scan
1786641837.219362,3,scan
1786641837.294561,1,scan
1786641837.295807,2,scan
1786641837.319920,3,scan
1786641837.343060,3,camera
1786641837.394445,1,scan
1786641837.394812,2,scan
1786641837.419200,3,scan
1786641837.494244,1,scan
1786641837.494412,2,scan
1786641837.519279,3,scan
1786641837.594389,1,scan
1786641837.594789,2,scan
1786641837.611649,2,camera
1786641837.619175,3,scan
1786641837.694554,1,scan
1786641837.695084,2,scan
1786641837.706321,2,camera
1786641837.719199,3,scan
1786641837.794835,2,scan
1786641837.795248,1,scan
1786641837.809349,2,camera
1786641837.819472,3,scan
1786641837.895000,1,scan
1786641837.895406,2,scan
1786641837.907935,2,camera
1786641837.920011,3,scan
1786641837.938469,3,camera
1786641837.941238,3,camera
1786641837.943812,3,camera
1786641837.994642,1,scan
1786641837.995141,2,scan
1786641838.009810,2,camera
1786641838.015859,1,camera
1786641838.019243,3,scan
1786641838.022294,1,camera
1786641838.026091,1,camera
1786641838.029421,3,camera
1786641838.030338,1,camera
1786641838.033659,1,camera
1786641838.087541,1,camera
1786641838.094194,1,scan
1786641838.094477,2,scan
1786641838.101299,2,camera
1786641838.119041,3,scan
1786641838.123176,3,camera
1786641838.192294,1,camera
1786641838.194647,1,scan
1786641838.194844,2,scan
1786641838.209222,2,camera
1786641838.219368,3,scan
1786641838.231053,3,camera
1786641838.289792,1,camera
1786641838.294659,1,scan
1786641838.294808,2,scan
1786641838.308937,2,camera
1786641838.319677,3,scan
1786641838.332687,3,camera
1786641838.389798,1,camera
1786641838.394680,1,scan
1786641838.394816,2,scan
1786641838.411574,2,camera
1786641838.419205,3,scan
1786641838.425270,3,camera
1786641838.489575,1,camera
1786641838.494729,1,scan
1786641838.494862,2,scan
1786641838.508314,2,camera
1786641838.519406,3,scan
1786641838.530622,3,camera
1786641838.589674,1,camera
1786641838.594566,1,scan
1786641838.594811,2,scan
1786641838.607138,2,camera
1786641838.619816,3,scan
1786641838.631161,3,camera
1786641838.689718,1,camera
1786641838.694724,1,scan
1786641838.694811,2,scan
1786641838.708646,2,camera
1786641838.719335,3,scan
1786641838.730439,3,camera
1786641838.789715,1,camera
1786641838.794680,1,scan
1786641838.794972,2,scan
1786641838.806392,2,camera
1786641838.819299,3,scan
1786641838.830862,3,camera
1786641838.889878,1,camera
1786641838.894637,1,scan
1786641838.894842,2,scan
1786641838.919336,3,scan
1786641838.930308,3,camera
1786641838.988796,1,camera
1786641838.994637,1,scan
1786641838.994804,2,scan
1786641839.014191,2,camera
1786641839.019526,3,scan
1786641839.041567,3,camera
1786641839.088583,1,camera
1786641839.095368,1,scan
1786641839.096332,2,scan
1786641839.117586,2,camera
1786641839.119545,3,scan
1786641839.124373,2,camera
1786641839.128368,3,camera
1786641839.181361,1,camera
1786641839.194531,1,scan
1786641839.194727,2,scan
1786641839.209048,2,camera
1786641839.219482,3,scan
1786641839.226561,3,camera
1786641839.289749,1,camera
1786641839.294625,1,scan
1786641839.294819,2,scan
1786641839.308884,2,camera
1786641839.319728,3,scan
1786641839.330456,3,camera
1786641839.391463,1,camera
1786641839.394622,1,scan
1786641839.394883,2,scan
1786641839.408522,2,camera
1786641839.419347,3,scan
1786641839.431400,3,camera
