t_epoch,robot,topic
1786642141.077129,1,camera
1786642141.094660,3,camera
1786642142.085614,1,camera
1786642142.093610,3,camera
1786642142.881888,2,camera
1786642143.062613,2,camera
1786642143.088516,3,camera
1786642143.149462,2,camera
1786642143.164420,1,camera
1786642143.169855,3,camera
1786642143.177351,3,scan
1786642143.220948,2,scan
1786642143.256716,2,camera
1786642143.266537,3,camera
1786642143.275457,1,camera
1786642143.277339,3,scan
1786642143.321012,2,scan
1786642143.356843,2,camera
1786642143.368421,1,scan
1786642143.375198,1,camera
1786642143.376242,3,camera
1786642143.377579,3,scan
1786642143.420951,2,scan
1786642143.455520,2,camera
1786642143.468475,1,scan
1786642143.472821,1,camera
1786642143.475342,3,camera
1786642143.477532,3,scan
1786642143.521261,2,scan
1786642143.556230,2,camera
1786642143.568572,1,scan
1786642143.570921,1,camera
1786642143.577557,3,scan
1786642143.582941,3,camera
1786642143.620827,2,scan
1786642143.654826,2,camera
1786642143.668476,1,scan
1786642143.670036,1,camera
1786642143.675248,3,camera
1786642143.677464,3,scan
1786642143.721076,2,scan
1786642143.754849,2,camera
1786642143.769053,1,scan
1786642143.770163,1,camera
1786642143.774058,3,camera
1786642143.777512,3,scan
1786642143.821079,2,scan
1786642143.854978,2,camera
1786642143.868471,1,scan
1786642143.874928,1,camera
1786642143.876565,3,camera
1786642143.877505,3,scan
1786642143.920839,2,scan
1786642143.955120,2,camera
1786642143.968438,1,scan
1786642143.971328,1,camera
1786642143.974305,3,camera
1786642143.977680,3,scan
1786642144.021650,2,scan
1786642144.068752,1,scan
1786642144.073778,1,camera
1786642144.075260,2,camera
1786642144.077975,3,scan
1786642144.078706,3,camera
1786642144.121256,2,scan
1786642144.148355,2,camera
1786642144.161413,1,camera
1786642144.167146,3,camera
1786642144.167980,1,scan
1786642144.177109,3,scan
1786642144.220481,2,scan
1786642144.247032,2,camera
1786642144.262906,1,camera
1786642144.266978,3,camera
1786642144.267992,1,scan
1786642144.277361,3,scan
1786642144.320822,2,scan
1786642144.355529,2,camera
1786642144.368505,1,scan
1786642144.370426,1,camera
