t_epoch,robot,topic
1786621541.742782,2,scan
1786621541.756939,3,scan
1786621541.759045,1,scan
1786621541.842635,2,scan
1786621541.856585,3,scan
1786621541.859134,1,scan
1786621541.897429,3,camera
1786621541.943357,2,scan
1786621541.957035,3,scan
1786621541.959641,1,scan
1786621542.044804,2,scan
1786621542.057956,3,scan
1786621542.059964,1,scan
1786621542.142734,2,scan
1786621542.156598,3,scan
1786621542.159175,1,scan
1786621542.242676,2,scan
1786621542.257597,3,scan
1786621542.259574,1,scan
1786621542.343126,2,scan
1786621542.357125,3,scan
1786621542.359494,1,scan
1786621542.442828,2,scan
1786621542.447048,2,camera
1786621542.450474,1,camera
1786621542.456652,3,scan
1786621542.459146,1,scan
1786621542.543279,2,scan
1786621542.557182,2,camera
1786621542.557775,3,scan
1786621542.559598,1,scan
1786621542.563893,1,camera
1786621542.610002,3,camera
1786621542.644082,2,scan
1786621542.649559,2,camera
1786621542.657245,3,scan
1786621542.659541,1,scan
1786621542.660281,1,camera
1786621542.708431,3,camera
1786621542.743562,2,scan
1786621542.748012,2,camera
1786621542.757289,3,scan
1786621542.759924,1,scan
1786621542.760643,1,camera
1786621542.808083,3,camera
1786621542.843902,2,scan
1786621542.850394,2,camera
1786621542.857183,3,scan
1786621542.859611,1,scan
1786621542.861841,1,camera
1786621542.907033,3,camera
1786621542.943400,2,scan
1786621542.947023,2,camera
1786621542.957380,3,scan
1786621542.959590,1,scan
1786621542.963221,1,camera
1786621543.005371,3,camera
1786621543.043673,2,scan
1786621543.058115,3,scan
1786621543.061176,1,scan
1786621543.062933,2,camera
1786621543.082114,1,camera
1786621543.106653,3,camera
1786621543.144216,2,scan
1786621543.147880,2,camera
1786621543.153041,1,camera
1786621543.157000,3,scan
1786621543.159116,1,scan
1786621543.200440,3,camera
1786621543.244126,2,scan
1786621543.249035,2,camera
1786621543.256736,3,scan
1786621543.257579,1,camera
1786621543.259147,1,scan
1786621543.308987,3,camera
1786621543.344012,2,scan
1786621543.348607,2,camera
1786621543.356874,3,scan
1786621543.357969,1,camera
1786621543.359523,1,scan
1786621543.409025,3,camera
1786621543.443638,2,scan
1786621543.448458,2,camera
1786621543.455330,1,camera
1786621543.456670,3,scan
1786621543.459352,1,scan
1786621543.506539,3,camera
1786621543.543150,2,scan
1786621543.548095,2,camera
1786621543.556912,3,scan
1786621543.558434,1,camera
1786621543.559276,1,scan
1786621543.606502,3,camera
1786621543.643435,2,scan
1786621543.647123,2,camera
1786621543.657514,3,scan
1786621543.659759,1,scan
1786621543.660650,1,camera
1786621543.711463,3,camera
1786621543.743644,2,scan
1786621543.747644,2,camera
1786621543.757226,3,scan
1786621543.757882,1,camera
1786621543.759593,1,scan
1786621543.809858,3,camera
1786621543.843377,2,scan
1786621543.848072,2,camera
1786621543.856112,1,camera
1786621543.857150,3,scan
1786621543.859283,1,scan
1786621543.906462,3,camera
1786621543.943253,2,scan
1786621543.947404,2,camera
1786621543.957197,3,scan
1786621543.958572,1,camera
1786621543.959469,1,scan
1786621544.006927,3,camera
1786621544.043969,2,scan
1786621544.057548,3,scan
1786621544.059279,2,camera
1786621544.060032,1,scan
1786621544.063651,1,camera
1786621544.116710,3,camera
1786621544.141387,2,camera
1786621544.142929,2,scan
1786621544.150002,1,camera
1786621544.156812,3,scan
1786621544.159093,1,scan
1786621544.199479,3,camera
1786621544.240575,2,camera
1786621544.242835,2,scan
1786621544.245496,1,camera
1786621544.257044,3,scan
1786621544.259340,1,scan
1786621544.310072,3,camera
1786621544.344018,2,scan
1786621544.347310,2,camera
1786621544.357603,3,scan
1786621544.358632,1,camera
1786621544.359840,1,scan
1786621544.405814,3,camera
1786621544.443430,2,scan
1786621544.445972,2,camera
1786621544.455151,1,camera
1786621544.456881,3,scan
1786621544.459392,1,scan
1786621544.508687,3,camera
1786621544.544074,2,scan
1786621544.549009,2,camera
1786621544.557400,3,scan
1786621544.558026,1,camera
1786621544.559562,1,scan
1786621544.612727,3,camera
1786621544.643478,2,scan
1786621544.649551,2,camera
1786621544.657514,3,scan
1786621544.659640,1,scan
1786621544.660772,1,camera
1786621544.710033,3,camera
1786621544.743940,2,scan
1786621544.749746,2,camera
1786621544.757627,3,scan
1786621544.759724,1,scan
1786621544.763963,1,camera
1786621544.807355,3,camera
1786621544.844138,2,scan
1786621544.849564,2,camera
1786621544.856991,3,scan
1786621544.859319,1,scan
1786621544.859825,1,camera
1786621544.908557,3,camera
1786621544.943708,2,scan
1786621544.948612,2,camera
1786621544.957138,3,scan
1786621544.959664,1,scan
1786621544.962974,1,camera
1786621545.007571,3,camera
1786621545.043832,2,scan
1786621545.054622,2,camera
1786621545.057519,3,scan
1786621545.060461,1,scan
1786621545.072071,1,camera
1786621545.104459,3,camera
1786621545.139734,2,camera
1786621545.142914,2,scan
1786621545.148856,1,camera
1786621545.156722,3,scan
1786621545.159179,1,scan
1786621545.199201,3,camera
1786621545.237282,2,camera
1786621545.242904,2,scan
1786621545.243282,1,camera
1786621545.256783,3,scan
1786621545.259617,1,scan
1786621545.307270,3,camera
1786621545.343372,2,scan
1786621545.348214,2,camera
1786621545.356808,3,scan
1786621545.357049,1,camera
1786621545.359212,1,scan
1786621545.408194,3,camera
1786621545.443889,2,scan
1786621545.447945,2,camera
1786621545.457393,3,scan
1786621545.459336,1,camera
1786621545.459661,1,scan
1786621545.506604,3,camera
1786621545.543461,2,scan
1786621545.549329,2,camera
1786621545.557494,3,scan
1786621545.559248,1,camera
1786621545.559643,1,scan
1786621545.608367,3,camera
1786621545.643629,2,scan
1786621545.649309,2,camera
1786621545.657708,3,scan
1786621545.659354,1,camera
1786621545.659610,1,scan
1786621545.710225,3,camera
1786621545.743463,2,scan
1786621545.746551,2,camera
1786621545.757210,3,scan
1786621545.759638,1,scan
1786621545.763970,1,camera
1786621545.809974,3,camera
1786621545.843508,2,scan
1786621545.846762,2,camera
1786621545.857268,3,scan
1786621545.858051,1,camera
1786621545.859398,1,scan
1786621545.906579,3,camera
1786621545.943514,2,scan
1786621545.949558,2,camera
1786621545.957147,3,scan
1786621545.959665,1,scan
1786621545.960508,1,camera
1786621546.007401,3,camera
1786621546.045042,2,scan
1786621546.053281,2,camera
1786621546.057653,3,scan
1786621546.060843,1,scan
1786621546.067851,1,camera
1786621546.110755,3,camera
1786621546.143203,2,scan
1786621546.149235,2,camera
1786621546.152421,1,camera
1786621546.156674,3,scan
1786621546.159116,1,scan
1786621546.193676,3,camera
1786621546.240707,2,camera
1786621546.242907,2,scan
1786621546.245156,1,camera
1786621546.256742,3,scan
1786621546.259450,1,scan
1786621546.304865,3,camera
1786621546.343456,2,scan
1786621546.356819,2,camera
1786621546.357223,3,scan
1786621546.359517,1,scan
1786621546.360608,1,camera
1786621546.407304,3,camera
1786621546.443457,2,scan
